epoch,loss,val_loss,training_time
0,0.0011912527061382896,0.0012164842181407467,4.0450685024261475
1,0.0011902321908868606,0.0012033243224917106,2.611999034881592
2,0.0011899001421624953,0.0012602403031609414,2.4677021503448486
3,0.0011901209781445894,0.0012132683255486312,2.4495229721069336
4,0.0011864350855908764,0.001201572603919605,2.5150370597839355
5,0.0011871510451173391,0.0012055474275781894,2.5263450145721436
6,0.0011869719758443077,0.001192229714717191,2.5810387134552
7,0.0011847573017265745,0.0012114744914865983,2.5607659816741943
8,0.0011845768522125522,0.0011917571468799887,2.518221378326416
9,0.0011832028810747318,0.0011912453397695925,2.7152762413024902
10,0.0011857420506983583,0.0011916507389748477,2.6174228191375732
11,0.0011842843656969843,0.0011934941622046198,2.613435745239258
12,0.0011838800246597575,0.0011980591643089697,2.5285208225250244
13,0.0011796653361001023,0.0011976732208901315,2.5596208572387695
14,0.0011831064855827248,0.0011970472371380365,2.534123659133911
15,0.001180909116174009,0.0011967039299897425,2.654258966445923
16,0.001181347233777556,0.0012200357270353616,2.5080020427703857
17,0.0011778290217307418,0.0012124597928179603,2.6050467491149902
18,0.001182061985204963,0.0012006567064426924,2.604236364364624
19,0.0011805802581540145,0.0011899198102114828,2.774092197418213
20,0.0011804838806373863,0.001197570254302244,2.610095977783203
21,0.0011806669257296248,0.0012140665976629556,3.3005566596984863
22,0.0011798699198449138,0.0012015723956444594,4.029028654098511
23,0.0011794493471630977,0.0011954185696790472,3.848985195159912
24,0.0011765503301579268,0.0012040859416140002,3.4939982891082764
25,0.0011815924496805421,0.0011943589623013345,3.374035120010376
26,0.0011796533003203358,0.0011904352025963697,3.2249577045440674
27,0.0011789835080591269,0.0011906999306631842,3.246000051498413
28,0.0011787067002569749,0.0012036966239930068,3.2429986000061035
29,0.0011791604154723174,0.0012065248209770763,2.4939992427825928
30,0.0011781903979115218,0.001198065184023377,2.5599987506866455
31,0.0011803816302503824,0.0011902513921557992,2.487999677658081
32,0.001179781941355646,0.0011981698896498716,2.702000141143799
33,0.00117892280257937,0.0011976783460316191,2.4900002479553223
34,0.0011763393790325972,0.001199219269424435,2.486006259918213
