epoch,loss,val_loss,training_time
0,2.0629884926523094,2.655533879024449,13.700317859649658
1,1.9338176393981696,2.601921980002784,7.347959518432617
2,1.765742710280576,2.566019569088312,7.359612941741943
3,1.60721954385327,2.593272928560084,7.218091249465942
4,1.5900587512706112,2.312380624560391,8.216241121292114
5,1.613734942517042,2.33846403903225,7.260840654373169
6,1.5431292460030042,2.0723769128660305,8.173003673553467
7,1.557847676803978,1.9780131507527727,7.409894704818726
8,1.5332851750992513,2.10268669180762,7.283301830291748
9,1.4178596053965482,1.957469642668878,8.168018579483032
10,1.3991476771851774,1.7683404955917985,7.410177230834961
11,1.4167074130547284,1.7091319926146407,7.441606283187866
12,1.5181555460375136,1.9399534669459373,7.329047918319702
13,1.404991079797235,1.8292785800634632,7.338862180709839
14,1.3963065692228005,2.100577609270558,7.324595212936401
15,1.3858569349400607,1.6869413862400622,8.192886352539062
16,1.2669383488926154,1.794108514829668,7.362162828445435
17,1.3219506111316122,1.8805257455569826,7.346695899963379
18,1.2205882359215174,1.8977805268832038,7.35467791557312
19,1.218054406928836,1.783669938911122,7.3534581661224365
20,1.1468175761085055,1.737673328719801,7.345656871795654
21,1.139126350904434,1.695708726941695,7.353804111480713
22,1.106147832176503,2.0059601510465987,7.370572566986084
23,1.1367722596617889,2.2610478843153365,7.3690345287323
24,1.473093485162436,1.841957432099172,7.359228849411011
25,1.2781842753952466,1.8643577923686916,7.381844758987427
26,1.1316778147637112,1.9450686660518728,7.3704938888549805
27,1.0054221664317045,1.9135419267095182,7.375077962875366
28,1.0031271805675441,1.763277556420048,7.392644166946411
29,0.9827443170479945,1.7753428578292345,7.395415544509888
30,0.9680853350979748,1.850135235247801,7.420785427093506
