epoch,loss,val_loss,training_time
0,0.005055682277667483,0.005957768634327743,1.489241600036621
1,0.00427568375415057,0.005503566281605517,0.712993860244751
2,0.0038684454093673164,0.0052606162635567295,0.7920587062835693
3,0.0035762507503639424,0.0051842235465218755,1.2730889320373535
4,0.0034952883576100115,0.005374872407159654,0.7369997501373291
5,0.003243754559827087,0.0050135136066827785,0.8870024681091309
6,0.0038131542294528036,0.005441946116185064,0.7829835414886475
7,0.00325152208108272,0.005286705051614737,0.701988697052002
8,0.00297411310273672,0.00538308930430936,0.7630190849304199
9,0.002827955141216798,0.005251195064660758,0.6839830875396729
10,0.002688670869058348,0.005392191106227303,0.695997953414917
11,0.002703091799131154,0.005703361101844942,0.6169967651367188
12,0.0025994847733105293,0.005569872098348945,0.7089989185333252
13,0.002478656205555338,0.005906995658950073,0.6879997253417969
14,0.002466989624840792,0.005846758137035603,0.6770017147064209
15,0.002462502406264556,0.005768093120794158,0.7369987964630127
16,0.0023732908878948563,0.005750263733845389,0.680020809173584
17,0.0022816806886524553,0.005895252316539168,0.7209959030151367
18,0.0022574429347169277,0.005949780407210643,0.6929976940155029
19,0.0023417914669030294,0.005575076233257247,0.6970000267028809
20,0.0022450327821343266,0.006065899606631863,0.7510037422180176
21,0.0021612198088525655,0.005868307277876831,0.6719958782196045
22,0.0022623942599027673,0.006041820930441044,0.767000675201416
23,0.002177580575677685,0.005915905682372705,0.7408640384674072
24,0.002075622756472974,0.006333476159126015,0.7159984111785889
25,0.002002008359552105,0.006098707652091452,0.7239997386932373
26,0.001975127605974632,0.006222303725565354,0.7299985885620117
27,0.0019629188531629805,0.006221059822987253,0.7040104866027832
28,0.00192021646882505,0.006278515824630577,0.6689901351928711
29,0.0019436339974492204,0.006445225802360356,0.6670012474060059
30,0.0018941386519492418,0.006499255158415423,0.7310013771057129
